age,gender,total_sleep_hours,sleep_quality,exercise_mins_day,caffeine_intake_mg,screen_time_before_bed_mins,work_hours_hrs_day,productivity_score,mood_score,stress_level,exercise_cat
32,Other,5.28,3,86,87,116,8.80892009394567,8,3,6,high
41,Female,5.41,5,32,21,88,6.329833121584335,10,3,7,medium
20,Male,5.35,7,17,88,59,8.506305742764315,10,9,10,low
37,Other,7.55,8,46,34,80,6.070239852800135,8,4,2,medium
46,Other,6.75,10,61,269,94,11.374993880184936,8,7,9,high
38,Male,8.64,10,88,251,123,6.207993456180347,1,9,7,high
18,Other,8.03,3,34,288,122,4.592357213872723,7,10,9,medium
26,Female,6.35,8,36,98,171,9.100459770841706,3,1,3,medium
31,Other,7.31,7,26,206,14,4.887126566494651,3,7,1,low
49,Female,7.52,4,12,159,70,6.318011623310144,6,2,10,low
45,Female,6.12,7,88,230,128,5.8234813003355335,9,4,9,high
23,Other,7.96,10,43,151,58,6.585623456166042,8,9,4,medium
29,Female,8.06,5,55,80,112,11.812919646661223,6,7,5,medium
18,Other,7.15,10,31,197,159,8.741573791035147,7,8,1,medium
41,Male,7.67,1,72,123,69,9.566502454327054,3,4,4,high
36,Other,7.95,7,81,128,10,6.728530808402068,9,2,7,high
33,Female,7.08,1,1,253,139,8.46634762885678,7,9,9,low
20,Female,7.71,1,71,103,83,8.645492971491638,9,3,9,high
35,Female,7.76,9,32,67,32,7.951149721467477,4,8,8,medium
34,Male,7.04,6,21,237,157,11.784084438019566,3,6,8,low
38,Female,7.84,1,68,146,3,4.194527731451631,1,1,5,high
41,Male,9.33,3,59,115,159,10.809093372134855,3,2,9,medium
20,Female,7.58,6,22,126,154,6.36232470735151,10,1,8,low
56,Male,6.6,2,24,12,59,8.090739190887502,9,4,4,low
33,Female,6.19,2,65,287,85,6.625221339797855,10,6,10,high
59,Female,7.19,5,7,52,59,5.726568219974745,5,7,4,low
49,Female,7.69,4,15,268,113,8.130402786409562,3,1,8,low
43,Male,4.9,9,11,128,57,11.321709821011844,2,6,9,low
56,Other,8.15,3,75,153,143,5.269171581139928,6,9,5,high
22,Female,8.53,4,32,253,100,7.1880378751789875,10,6,5,medium
48,Female,7.02,1,68,3,15,4.564549979203439,7,2,1,high
41,Female,5.14,3,42,100,11,7.088821102406194,1,8,10,medium
46,Male,6.39,3,34,214,80,9.245781083045935,10,10,10,medium
24,Female,7.64,8,35,216,20,11.74064441216198,4,10,5,medium
52,Female,7.4,7,61,223,36,5.908774878322721,7,7,9,high
47,Male,8.63,6,12,186,18,7.113613429873305,9,3,9,low
48,Other,4.92,5,11,24,179,9.380147648616308,4,5,7,low
59,Female,7.25,5,34,214,74,4.936536131420847,9,10,10,medium
30,Female,8.96,2,4,28,164,5.8658245793962225,8,1,6,low
24,Male,6.25,3,60,181,166,7.39377607397581,10,3,7,medium
30,Female,8.2,8,60,0,130,8.666950120777276,9,1,9,medium
55,Male,4.56,5,79,212,163,8.430834275210566,4,9,2,high
31,Other,7.64,6,2,143,11,11.66961925926277,8,6,8,low
25,Female,6.82,10,59,177,27,4.621877095719879,9,4,6,medium
50,Male,7.92,3,5,81,114,9.80575606710688,9,2,10,low
22,Other,8.39,2,48,266,84,9.996626399808576,9,6,1,medium
18,Male,8.82,1,68,132,101,11.305326018061145,7,5,5,high
27,Other,6.75,1,50,172,3,5.829142444027702,1,8,2,medium
56,Female,6.88,3,49,267,53,11.743790123518584,9,1,7,medium
38,Female,5.56,6,63,251,37,8.86470279633508,2,3,2,high
50,Other,7.61,3,80,132,28,5.1765878474323035,8,1,10,high
37,Male,6.96,3,22,182,79,5.215221548098355,6,8,4,low
20,Other,9.37,10,50,276,4,6.760661022579094,10,6,5,medium
29,Female,5.14,10,44,72,25,10.39528319127234,9,6,8,medium
34,Female,4.92,3,51,206,46,6.963776822331056,6,10,7,medium
43,Female,5.17,3,22,237,106,8.256907882122526,2,10,6,low
32,Male,5.41,7,56,272,85,6.619978817423317,9,1,4,medium
20,Male,4.93,6,33,110,7,8.692283477286072,3,10,9,medium
43,Female,6.99,6,32,149,20,5.222873113474656,7,4,8,medium
48,Male,5.06,2,83,219,74,10.92405700715184,6,6,1,high
55,Other,8.09,8,25,172,43,5.640620481195673,10,6,4,low
50,Male,8.04,6,36,138,99,6.565137537276114,3,1,6,medium
22,Other,5.51,8,1,83,64,5.110598187536163,9,1,9,low
47,Other,8.65,2,77,136,161,5.449864529325281,3,1,8,high
46,Other,5.51,3,84,164,4,5.885533968519998,10,4,9,high
42,Female,6.7,3,37,22,62,8.021763120739834,9,1,1,medium
57,Other,6.66,3,6,178,41,5.114176581307098,1,4,7,low
54,Other,4.67,6,65,9,4,11.014125094093997,1,6,6,high
